1	Alabama	AL	1
2	Alaska	AK	1
3	Arizona	AZ	1
4	Arkansas	AR	1
5	California	CA	1
6	Colorado	CO	1
7	Connecticut	CT	1
8	Delaware	DE	1
9	District of Columbia	DC	1
10	Florida	FL	1
11	Georgia	GA	1
12	Hawaii	HI	1
13	Idaho	ID	1
14	Illinois	IL	1
15	Indiana	IN	1
16	Iowa	IA	1
17	Kansas	KS	1
18	Kentucky	KY	1
19	Louisiana	LA	1
20	Maine	ME	1
21	Maryland	MD	1
22	Massachusetts	MA	1
23	Michigan	MI	1
24	Minnesota	MN	1
25	Mississippi	MS	1
26	Missouri	MO	1
27	Montana	MT	1
28	Nebraska	NE	1
29	Nevada	NV	1
30	New Hampshire	NH	1
31	New Jersey	NJ	1
32	New Mexico	NM	1
33	New York	NY	1
34	North Carolina	NC	1
35	North Dakota	ND	1
36	Ohio	OH	1
37	Oklahoma	OK	1
38	Oregon	OR	1
39	Pennsylvania	PA	1
40	Rhode Island	RI	1
41	South Carolina	SC	1
42	South Dakota	SD	1
43	Tennessee	TN	1
44	Texas	TX	1
45	Utah	UT	1
46	Vermont	VT	1
47	Virginia	VA	1
48	Washington	WA	1
49	West Virginia	WV	1
50	Wisconsin	WI	1
51	Wyoming	WY	1
52	Alberta	AB	2
53	British Columbia	BC	2
54	Manitoba	MB	2
55	New Brunswick	NB	2
56	Newfoundland and Labrador	NL	2
57	Northwest Territories	NT	2
58	Nova Scotia	NS	2
59	Nunavut	NU	2
60	Ontario	ON	2
61	Prince Edward Island	PE	2
62	Quebec	QC	2
63	Saskatchewan	SK	2
64	Yukon	YT	2
65	England	England	95
66	Northern Ireland	NorthernIreland	95
67	Scotland	Scottland	95
68	Wales	Wales	95
